,count,mean,std,min,25%,50%,75%,max,median,missing_count
dem_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
elevation,10.0,248.0367790222168,84.25034578733714,119.7321548461914,177.64365768432617,270.2921600341797,302.6775665283203,368.7635803222656,270.2921600341797,0
slope,10.0,4.430950379371643,3.754888432864675,0.6217868328094482,1.2153857052326202,3.8414855003356934,5.673157095909119,11.028627395629885,3.8414855003356934,0
aspect,10.0,165.10778274536133,32.35986845513146,120.22518157958984,136.71051788330078,164.25948333740234,191.47582626342773,213.1277618408203,164.25948333740234,0
weather_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
temperature_mean,10.0,20.33197154998779,0.9392250817183871,18.174774169921875,20.088007926940918,20.454010009765625,20.792995452880856,21.470361709594727,20.454010009765625,0
temperature_max,10.0,28.455743408203126,1.3569739694267158,26.420440673828125,27.590240478515625,28.189178466796875,29.101104736328125,30.609893798828125,28.189178466796875,0
temperature_min,10.0,12.053674316406248,0.9173748297512444,10.595001220703123,11.372863769531248,12.052642822265623,12.607727050781248,13.289642333984377,12.052642822265623,0
rainfall_total_mm,10.0,191.70223388671874,32.50446584283944,135.273681640625,170.4737434387207,200.92127990722653,207.76139450073242,235.15182495117188,200.92127990722653,0
rainfall_mean_mm,10.0,1.7116270780563354,0.2902184378890954,1.2078007459640503,1.5220869481563568,1.793940007686615,1.8550124168395996,2.099569797515869,1.793940007686615,0
soil_moisture_mean,10.0,0.31634497195482253,0.06870639106107143,0.1786921322345733,0.27139145880937576,0.33775861561298365,0.3616065084934234,0.3967216908931732,0.33775861561298365,0
soil_moisture_max,10.0,0.411383056640625,0.04280089709470193,0.318572998046875,0.39591217041015625,0.422393798828125,0.4299812316894531,0.467529296875,0.422393798828125,0
soil_temperature_mean,10.0,20.26618194580078,0.9382416911502351,18.29541015625,19.98551082611084,20.224574089050293,20.657894134521484,21.70600891113281,20.224574089050293,0
solar_radiation_mean,10.0,133.86821594238282,3.9440162389164857,128.12757873535156,130.14015197753906,136.01155853271484,136.75947189331055,138.2124481201172,136.01155853271484,0
wind_speed_mean,10.0,2.4215254306793215,0.5656370581382292,1.694620966911316,2.060674548149109,2.288708209991455,2.8059948086738586,3.302445650100708,2.288708209991455,0
wind_speed_max,10.0,5.782717561721801,0.6822214421115063,4.868531703948975,5.408643484115601,5.562518119812012,6.370427370071411,6.811155319213867,5.562518119812012,0
soil_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
phh2o,10.0,6.335652173913044,0.7020024169507872,5.1,5.967391304347827,6.25,6.9,7.3,6.25,0
nitrogen,10.0,6.35504347826087,0.8847496272740456,4.95,5.640000000000001,6.545,6.792826086956522,7.7,6.545,0
soc,10.0,41.786818181818184,4.295090011788623,35.7,37.925,42.68409090909091,44.425,48.2,42.68409090909091,0
clay,10.0,26.251739130434782,2.0856784029030133,22.5,25.025,26.15869565217391,27.575,29.2,26.15869565217391,0
sand,10.0,30.778695652173912,4.492656123299226,25.2,26.35,30.7,34.975,36.7,30.7,0
silt,10.0,42.9595652173913,4.311810760607043,38.19565217391305,39.025000000000006,42.95,46.25,49.8,42.95,0
