,count,mean,std,min,25%,50%,75%,max,median,missing_count
VH_mean,10.0,20.19768714904785,0.9155680785900996,19.098350524902344,19.517727851867676,19.988922119140625,20.737563610076904,21.72512435913086,19.988922119140625,18974
VV_VH_ratio,10.0,1.142245614528656,0.022602399323910977,1.0965040922164917,1.1351227462291718,1.1438961029052734,1.1501296758651733,1.1863183975219729,1.1438961029052734,18974
RVI_mean,10.0,1.379580593109131,0.09403067635245448,1.184598445892334,1.345576345920563,1.3748963475227356,1.410241723060608,1.5544312000274658,1.3748963475227356,18974
dem_ok,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18974
elevation,10.0,248.0367790222168,84.25034578733714,119.7321548461914,177.64365768432617,270.2921600341797,302.6775665283203,368.7635803222656,270.2921600341797,18974
slope,10.0,4.430950379371643,3.754888432864675,0.6217868328094482,1.2153857052326202,3.8414855003356934,5.673157095909119,11.028627395629885,3.8414855003356934,18974
aspect,10.0,165.10778274536133,32.35986845513146,120.22518157958984,136.71051788330078,164.25948333740234,191.47582626342773,213.1277618408203,164.25948333740234,18974
weather_ok,18984.0,0.0017909818794774547,0.04228319336367611,0.0,0.0,0.0,0.0,1.0,0.0,0
temperature_mean,34.0,19.9372800097746,2.212544362393235,14.979863166809082,18.47718381881714,20.704402923583984,21.506150245666504,22.22071647644043,20.704402923583984,18950
temperature_max,34.0,28.11916216681985,2.15379398662167,23.818878173828125,26.5489501953125,28.619842529296875,29.6485595703125,30.694244384765625,28.619842529296875,18950
temperature_min,34.0,11.218816420611214,1.7881903204065954,7.380157470703125,10.619384765624998,11.904205322265623,12.496215820312498,13.289642333984377,11.904205322265623,18950
rainfall_total_mm,34.0,220.23378215116614,56.51595044102459,135.273681640625,190.69135665893555,202.9680404663086,241.2407341003418,404.1297607421875,202.9680404663086,18950
rainfall_mean_mm,34.0,1.9663730509140913,0.5046067125707683,1.2078007459640503,1.7026013731956482,1.8122146725654602,2.153935134410858,3.6083014011383057,1.8122146725654602,18950
soil_moisture_mean,34.0,0.3466760533697465,0.05341683602608179,0.1786921322345733,0.3326689451932907,0.36612872779369354,0.37620846927165985,0.4062409996986389,0.36612872779369354,18950
soil_moisture_max,34.0,0.44975953943589153,0.0483661251462971,0.318572998046875,0.4237709045410156,0.4375762939453125,0.501922607421875,0.5150146484375,0.4375762939453125,18950
soil_temperature_mean,34.0,19.93995458939496,2.167709384528182,14.97038745880127,18.51974391937256,20.563716888427734,21.669362545013424,22.159854888916016,20.563716888427734,18950
solar_radiation_mean,34.0,134.3824987972484,3.6870834868769906,128.12757873535156,130.9338150024414,136.13248443603516,136.6140594482422,141.91668701171875,136.13248443603516,18950
wind_speed_mean,34.0,2.3922447351848377,0.4681337948596782,1.6835709810256958,1.993299275636673,2.4866719245910645,2.822300970554352,3.302445650100708,2.4866719245910645,18950
wind_speed_max,34.0,6.15856409072876,1.236714645342411,3.755156993865967,5.265665650367737,6.075985908508301,6.950650453567506,8.466389656066895,6.075985908508301,18950
soil_ok,18984.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
phh2o,18984.0,9.51676042959268,90.91590410003498,-0.1,5.4,6.2,7.0,2979.5,6.2,0
nitrogen,18984.0,6.347642687998919,6.09721073705954,0.0,4.07,5.96,8.04,292.96,5.96,0
soc,18984.0,82.65447878223767,67.10324837058195,-894.7,41.3,60.3,96.9,2000.8,60.3,0
clay,18984.0,22.27067264276943,46.45988516324453,-3248.9,15.3,21.8,27.3,2871.3,21.8,0
sand,18984.0,40.888433343389195,51.626064262006636,-3.8,27.1,38.6,52.393181818181816,2853.0,38.6,0
silt,18984.0,39.0337415622307,42.988780532657564,-4.5,31.70416666666667,38.1,44.7,3126.4,38.1,0
